epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3541,1.09178,2.62968,2.40336,1.31199,0.75146,0.42435,0.49209,0.33847,0.73854,0.4214,0.4654,0.32411,1.03884,2.0901,1.81166,1.20906,0.000413136,0.000413136,0.000413136
2,39.6507,0.94464,1.64441,1.44159,1.20838,0.80149,0.56842,0.5723,0.38869,0.79551,0.56132,0.54729,0.38418,1.03028,1.88355,1.94529,1.2041,0.000827064,0.000827064,0.000827064
3,60.6881,0.91174,1.62073,1.31061,1.19051,0.878,0.4827,0.57671,0.44086,0.86647,0.46801,0.55311,0.42512,0.9894,1.87084,1.4809,1.17302,0.00123824,0.00123824,0.00123824
4,80.677,0.87662,1.46827,1.21545,1.15809,0.89977,0.49771,0.57784,0.41832,0.86923,0.49018,0.54702,0.40227,1.09977,1.80982,1.51424,1.23899,0.00123763,0.00123763,0.00123763
5,100.705,0.85077,1.43073,1.15435,1.14647,0.83458,0.50501,0.56216,0.40785,0.81204,0.50325,0.52218,0.40197,1.03265,1.98932,1.71746,1.2056,0.0012335,0.0012335,0.0012335
6,121.012,0.85246,1.38325,1.13482,1.13573,0.81819,0.53861,0.57074,0.40087,0.79867,0.51943,0.5418,0.40631,1.05106,1.89684,1.52412,1.28634,0.00122937,0.00122937,0.00122937
7,138.703,0.81869,1.37062,1.08299,1.12384,0.86263,0.53856,0.57355,0.44746,0.8277,0.53768,0.54931,0.42054,0.98724,1.96219,1.54575,1.17494,0.00122525,0.00122525,0.00122525
8,155.59,0.80209,1.35329,1.04051,1.12566,0.83771,0.55444,0.60126,0.46003,0.81711,0.53823,0.56199,0.43303,0.89437,1.97064,1.34916,1.14488,0.00122112,0.00122112,0.00122112
9,172.631,0.77283,1.31788,1.02477,1.10691,0.8674,0.59177,0.61326,0.48004,0.84937,0.57062,0.58156,0.43769,0.90654,1.89355,1.34191,1.11769,0.001217,0.001217,0.001217
10,189.913,0.75711,1.28692,0.96471,1.07815,0.91679,0.52115,0.6042,0.45622,0.88294,0.49054,0.55923,0.44398,0.94528,1.73587,1.57536,1.13423,0.00121287,0.00121287,0.00121287
11,207.155,0.74499,1.22716,0.96647,1.08566,0.92329,0.52569,0.62717,0.48609,0.91178,0.51582,0.58485,0.45273,0.96126,1.95907,1.26555,1.15169,0.00120875,0.00120875,0.00120875
12,224.206,0.73228,1.16508,0.95768,1.07341,0.87887,0.52801,0.58989,0.4578,0.85482,0.51776,0.54867,0.41981,0.93162,2.05103,1.48571,1.15287,0.00120462,0.00120462,0.00120462
13,241.532,0.74372,1.22241,0.93953,1.07671,0.88743,0.55597,0.59822,0.48655,0.87636,0.55344,0.5715,0.47391,0.83088,1.8568,1.32214,1.06082,0.0012005,0.0012005,0.0012005
14,258.867,0.71426,1.19726,0.88958,1.05778,0.84232,0.59066,0.6103,0.49676,0.83151,0.55594,0.57405,0.45694,0.87244,1.96706,1.30237,1.08766,0.00119637,0.00119637,0.00119637
15,275.755,0.70187,1.19642,0.87777,1.0638,0.81068,0.57937,0.55251,0.43478,0.78704,0.55312,0.52078,0.4107,0.92505,1.92083,1.36452,1.15661,0.00119225,0.00119225,0.00119225
16,293.043,0.72014,1.18073,0.87794,1.06736,0.84297,0.54847,0.57051,0.446,0.76471,0.56149,0.51633,0.42499,0.94077,2.02533,1.42892,1.16299,0.00118812,0.00118812,0.00118812
17,310.156,0.7075,1.17801,0.86358,1.06551,0.89144,0.52611,0.60528,0.48811,0.85733,0.49904,0.54055,0.43617,0.81602,1.89189,1.26302,1.02776,0.001184,0.001184,0.001184
18,327.456,0.6823,1.15478,0.83716,1.05358,0.83136,0.57697,0.57293,0.46529,0.79587,0.55161,0.52269,0.42233,0.81706,2.02563,1.28896,1.06368,0.00117988,0.00117988,0.00117988
19,345.052,0.69533,1.20036,0.85268,1.06167,0.81711,0.61789,0.5928,0.46031,0.78332,0.58708,0.52847,0.40448,0.83358,2.11888,1.46669,1.10873,0.00117575,0.00117575,0.00117575
20,362.156,0.67267,1.14926,0.81584,1.03878,0.89504,0.58083,0.62024,0.4888,0.88064,0.56899,0.57977,0.45509,0.83365,2.0581,1.20036,1.04787,0.00117163,0.00117163,0.00117163
21,379.108,0.66896,1.12265,0.80345,1.03614,0.89274,0.55216,0.6176,0.51097,0.79128,0.56426,0.54454,0.44408,0.75982,2.2983,1.2385,1.01861,0.0011675,0.0011675,0.0011675
22,396.445,0.64578,1.08351,0.76431,1.02499,0.85101,0.56782,0.58943,0.47507,0.82545,0.53108,0.52645,0.4137,0.8707,1.97069,1.38761,1.10612,0.00116337,0.00116337,0.00116337
23,413.737,0.65151,1.1013,0.77881,1.02971,0.8472,0.59569,0.60173,0.50054,0.81074,0.55768,0.54005,0.43635,0.80477,2.1357,1.27008,1.06001,0.00115925,0.00115925,0.00115925
24,431.267,0.66107,1.08636,0.7603,1.04363,0.84849,0.59886,0.58901,0.47981,0.82892,0.56345,0.54879,0.41857,0.86885,1.99758,1.3353,1.10803,0.00115513,0.00115513,0.00115513
25,448.437,0.6483,1.10592,0.76472,1.03147,0.84143,0.59144,0.61852,0.50022,0.82142,0.54016,0.56889,0.4579,0.81847,1.85137,1.15922,1.07731,0.001151,0.001151,0.001151
26,468.46,0.6395,1.04517,0.74535,1.02307,0.88726,0.55285,0.60425,0.49254,0.85783,0.52126,0.55865,0.44701,0.80011,2.06717,1.32345,1.04154,0.00114688,0.00114688,0.00114688
27,488.448,0.64585,1.07505,0.74079,1.03565,0.84854,0.57448,0.59857,0.48606,0.80951,0.53748,0.55659,0.4463,0.82361,2.16712,1.34898,1.0599,0.00114275,0.00114275,0.00114275
28,508.395,0.62425,1.06577,0.72236,1.01819,0.8597,0.56206,0.59078,0.49377,0.82987,0.53352,0.54115,0.43771,0.78995,1.82411,1.40468,1.05695,0.00113863,0.00113863,0.00113863
29,528.393,0.63196,1.07432,0.72206,1.01875,0.85649,0.5823,0.60648,0.49948,0.81934,0.59064,0.56197,0.46708,0.86628,1.91977,1.28303,1.08502,0.0011345,0.0011345,0.0011345
30,548.433,0.62478,1.02489,0.71621,1.01522,0.82986,0.61476,0.58733,0.4742,0.80823,0.58568,0.54979,0.4307,0.89597,2.1567,1.3691,1.1646,0.00113038,0.00113038,0.00113038
31,568.038,0.61458,1.03905,0.69684,1.01093,0.86281,0.55808,0.60588,0.49695,0.83725,0.53243,0.55517,0.45819,0.82844,1.98476,1.39687,1.08901,0.00112625,0.00112625,0.00112625
32,588.367,0.61448,1.02544,0.70046,1.01495,0.83279,0.5567,0.57056,0.46891,0.80032,0.53029,0.51289,0.43349,0.82496,1.97192,1.32089,1.08515,0.00112213,0.00112213,0.00112213
33,608.134,0.61657,1.01434,0.68325,1.01155,0.84184,0.58443,0.60129,0.49524,0.82292,0.56566,0.56586,0.46102,0.82156,2.29019,1.23102,1.0793,0.001118,0.001118,0.001118
34,627.78,0.60062,0.96689,0.67977,0.99192,0.8745,0.56395,0.59181,0.47862,0.85169,0.53492,0.53914,0.4282,0.86989,1.80764,1.30077,1.11103,0.00111388,0.00111388,0.00111388
35,647.382,0.6024,1.04551,0.6743,1.00005,0.84534,0.5832,0.59448,0.47374,0.82355,0.56026,0.55269,0.42609,0.87513,2.08939,1.31469,1.1245,0.00110975,0.00110975,0.00110975
36,667.329,0.60283,0.98837,0.66148,0.99919,0.87099,0.55417,0.59286,0.49865,0.83811,0.52931,0.54489,0.4576,0.80953,2.24503,1.26853,1.07747,0.00110563,0.00110563,0.00110563
37,687.08,0.58132,0.96877,0.63776,0.99759,0.8415,0.56783,0.58032,0.48052,0.81595,0.5421,0.53565,0.43418,0.85227,2.1805,1.39656,1.13929,0.0011015,0.0011015,0.0011015
38,706.91,0.5689,0.9407,0.64669,0.99552,0.86896,0.57242,0.59107,0.47442,0.83332,0.53693,0.53486,0.43175,0.92053,2.16565,1.40453,1.2235,0.00109738,0.00109738,0.00109738
39,726.67,0.60707,0.98813,0.65287,1.00441,0.86014,0.55379,0.57416,0.46314,0.81919,0.51687,0.51453,0.42048,0.88869,2.30647,1.42911,1.1865,0.00109325,0.00109325,0.00109325
40,746.824,0.57853,0.94181,0.65026,0.99235,0.86816,0.57966,0.5842,0.47443,0.78809,0.56661,0.52666,0.42094,0.85545,2.26621,1.30398,1.12501,0.00108913,0.00108913,0.00108913
41,766.746,0.5902,0.95898,0.65069,0.99767,0.82401,0.60186,0.60429,0.50137,0.78695,0.53771,0.52888,0.43929,0.80408,1.99294,1.35592,1.08304,0.001085,0.001085,0.001085
42,787.036,0.58186,0.93076,0.63464,0.99227,0.85713,0.57378,0.59436,0.48193,0.80488,0.54806,0.53845,0.42047,0.85306,1.98053,1.45985,1.11863,0.00108088,0.00108088,0.00108088
43,807.085,0.57661,0.97777,0.63225,0.99878,0.8446,0.58673,0.57035,0.48404,0.79445,0.56029,0.50618,0.42465,0.7303,2.4464,1.3373,1.01851,0.00107675,0.00107675,0.00107675
44,827.091,0.5908,0.93757,0.64608,1.00184,0.60974,0.56811,0.59128,0.48891,0.59263,0.54347,0.55876,0.43362,0.80624,1.91059,1.24783,1.05944,0.00107263,0.00107263,0.00107263
45,847.006,0.58686,0.9487,0.64791,1.00116,0.62721,0.57017,0.61209,0.4969,0.59166,0.52207,0.51965,0.42227,0.77733,1.94805,1.29421,1.04542,0.0010685,0.0010685,0.0010685
46,866.884,0.56269,0.95245,0.63729,0.98964,0.84403,0.58577,0.5686,0.48395,0.79611,0.53868,0.51522,0.40367,0.70349,2.21007,1.46063,0.97672,0.00106437,0.00106437,0.00106437
47,886.517,0.55856,0.89242,0.60701,0.98386,0.83272,0.58358,0.57913,0.47279,0.78424,0.53386,0.52028,0.43069,0.76795,2.14273,1.37145,0.9955,0.00106025,0.00106025,0.00106025
48,906.639,0.57033,0.96,0.63209,0.99547,0.83386,0.62815,0.59769,0.48834,0.82035,0.54381,0.53079,0.4323,0.89156,2.11952,1.49164,1.16575,0.00105612,0.00105612,0.00105612
49,926.663,0.57364,0.96572,0.62646,1.00345,0.83752,0.6049,0.5897,0.48192,0.79435,0.56036,0.53177,0.42669,0.80579,2.22154,1.35979,1.05695,0.001052,0.001052,0.001052
50,946.237,0.56303,0.9241,0.61384,0.98368,0.57943,0.58129,0.58505,0.48473,0.55573,0.56732,0.54126,0.43997,0.83766,2.28096,1.25148,1.04998,0.00104787,0.00104787,0.00104787
51,966.291,0.5591,0.89229,0.60087,0.9814,0.60131,0.5899,0.59139,0.49138,0.57661,0.56347,0.55051,0.43326,0.8211,2.1339,1.31041,1.11016,0.00104375,0.00104375,0.00104375
