epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7805,1.0553,2.44001,1.71302,1.27812,0.72744,0.50873,0.50109,0.36165,0.72238,0.51433,0.48559,0.34176,1.10388,2.14635,1.92693,1.22774,0.000413136,0.000413136,0.000413136
2,50.5358,0.91835,1.54465,1.13416,1.16901,0.84383,0.47394,0.53611,0.38421,0.84795,0.47741,0.52887,0.38527,1.18039,2.31813,1.56372,1.33854,0.000824326,0.000824326,0.000824326
3,75.0071,0.93377,1.54798,1.08002,1.18803,0.84681,0.51386,0.5471,0.40182,0.82474,0.49445,0.52529,0.37912,1.0778,2.16276,1.47523,1.23905,0.00123002,0.00123002,0.00123002
4,97.9503,0.89547,1.41226,1.03174,1.16016,0.61016,0.52931,0.54198,0.40984,0.59282,0.51196,0.52316,0.39686,1.02234,1.97356,1.60699,1.21261,0.00122525,0.00122525,0.00122525
5,120.731,0.84183,1.39689,0.9788,1.1413,0.60156,0.53897,0.57888,0.42213,0.59021,0.52925,0.56458,0.42173,1.06316,2.1339,1.39594,1.19787,0.001217,0.001217,0.001217
6,143.49,0.8251,1.31063,0.9213,1.1313,0.57227,0.58482,0.58164,0.43385,0.56327,0.57553,0.5523,0.40385,0.98811,1.8734,1.46367,1.21839,0.00120875,0.00120875,0.00120875
7,166.214,0.81194,1.32886,0.91042,1.1197,0.64373,0.51686,0.58811,0.45564,0.61132,0.492,0.5454,0.41584,0.93016,2.07138,1.39202,1.13362,0.0012005,0.0012005,0.0012005
8,188.995,0.78516,1.28874,0.8628,1.12052,0.61954,0.56077,0.60776,0.47887,0.59812,0.54171,0.58259,0.45754,0.85972,1.91704,1.22023,1.09179,0.00119225,0.00119225,0.00119225
9,212.089,0.75869,1.28009,0.84975,1.09279,0.62282,0.54609,0.5881,0.46827,0.60596,0.57334,0.5788,0.44948,0.91066,1.93668,1.37511,1.14525,0.001184,0.001184,0.001184
10,235.131,0.74813,1.27461,0.81622,1.08027,0.62453,0.5319,0.56765,0.44991,0.59866,0.50741,0.53986,0.42106,0.90106,1.86722,1.57657,1.13514,0.00117575,0.00117575,0.00117575
11,258.022,0.7367,1.17513,0.80647,1.08547,0.62368,0.52654,0.58968,0.47784,0.57936,0.53968,0.55566,0.44732,0.91806,1.85633,1.35672,1.11953,0.0011675,0.0011675,0.0011675
12,280.873,0.71087,1.13567,0.82655,1.07455,0.63695,0.57393,0.606,0.48915,0.62144,0.53997,0.56442,0.44628,0.88427,1.91871,1.32782,1.128,0.00115925,0.00115925,0.00115925
13,303.731,0.7128,1.18738,0.80693,1.06912,0.62997,0.54826,0.5918,0.45622,0.61081,0.56876,0.57032,0.4614,0.93408,1.81984,1.31292,1.11036,0.001151,0.001151,0.001151
14,328.298,0.69861,1.13695,0.76832,1.06062,0.63599,0.57711,0.58835,0.46142,0.60507,0.5455,0.54545,0.40975,0.98508,2.23281,1.54685,1.219,0.00114275,0.00114275,0.00114275
15,352.594,0.6836,1.16509,0.75722,1.06405,0.63168,0.57991,0.59524,0.47085,0.59306,0.5568,0.56591,0.47219,0.90308,2.11754,1.41102,1.09979,0.0011345,0.0011345,0.0011345
16,377.858,0.6825,1.14179,0.75445,1.0483,0.60149,0.55774,0.58971,0.4841,0.56344,0.541,0.55025,0.45285,0.88046,2.05503,1.39582,1.0963,0.00112625,0.00112625,0.00112625
17,402.472,0.66941,1.11922,0.73026,1.05384,0.59373,0.59438,0.57109,0.45608,0.57749,0.55905,0.54198,0.43721,0.90794,1.84158,1.33856,1.08874,0.001118,0.001118,0.001118
