epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4844,0.97127,2.11216,1.56573,1.2719,0.75223,0.48913,0.51679,0.3618,0.73114,0.47158,0.47798,0.35257,1.11245,2.08705,1.92142,1.33066,0.000413136,0.000413136,0.000413136
2,104.705,0.9141,1.54445,1.17664,1.20713,0.59009,0.49393,0.56436,0.41857,0.59585,0.49656,0.54033,0.42307,1.05917,2.4036,1.91796,1.27791,0.000827064,0.000827064,0.000827064
3,146.089,0.93731,1.58024,1.11706,1.22604,0.57808,0.51306,0.54252,0.39156,0.53122,0.47498,0.47526,0.31657,1.03487,2.67934,2.07856,1.22664,0.00123824,0.00123824,0.00123824
4,188.791,0.89581,1.55217,1.05066,1.18778,0.5979,0.55154,0.56538,0.41442,0.59914,0.5412,0.54702,0.41215,1.04547,2.29852,1.65369,1.27443,0.00123763,0.00123763,0.00123763
5,230.033,0.83429,1.41904,0.98813,1.1699,0.5657,0.50798,0.5618,0.40386,0.56088,0.50672,0.53557,0.38916,1.0871,2.15749,1.76879,1.29001,0.0012335,0.0012335,0.0012335
6,271.12,0.84219,1.41877,0.97179,1.16807,0.56123,0.55632,0.58153,0.42023,0.54557,0.54243,0.53268,0.38947,0.96825,1.83251,1.56869,1.2038,0.00122937,0.00122937,0.00122937
7,312.562,0.83386,1.40905,0.94724,1.16543,0.60367,0.53212,0.56203,0.4329,0.59238,0.52291,0.54715,0.40262,0.90336,1.83637,1.49046,1.13712,0.00122525,0.00122525,0.00122525
8,353.993,0.79577,1.37255,0.88575,1.13818,0.62514,0.52475,0.59394,0.46486,0.60675,0.50085,0.55014,0.4182,0.88213,1.95439,1.30357,1.14131,0.00122112,0.00122112,0.00122112
9,397.338,0.76085,1.29368,0.86965,1.12178,0.60929,0.54536,0.58159,0.44677,0.57463,0.50951,0.53665,0.41724,0.94884,1.83337,1.34987,1.22136,0.001217,0.001217,0.001217
10,440.421,0.75405,1.28708,0.84762,1.11099,0.55768,0.58772,0.56581,0.44052,0.53753,0.56659,0.53209,0.41831,0.84245,1.836,1.51524,1.13432,0.00121287,0.00121287,0.00121287
11,483.635,0.73341,1.22836,0.83629,1.1046,0.5575,0.58826,0.58311,0.46117,0.53459,0.5616,0.5383,0.43047,0.94431,1.96472,1.30192,1.19671,0.00120875,0.00120875,0.00120875
12,526.88,0.70038,1.16725,0.83756,1.08872,0.65651,0.55317,0.58718,0.47709,0.62969,0.54596,0.55726,0.45233,0.88753,1.84465,1.33245,1.12818,0.00120462,0.00120462,0.00120462
13,570.396,0.72929,1.22142,0.82017,1.09313,0.59715,0.54601,0.5722,0.44311,0.59055,0.53976,0.55161,0.42594,0.91937,1.94632,1.39253,1.14432,0.0012005,0.0012005,0.0012005
14,613.911,0.72171,1.22091,0.8022,1.09502,0.62747,0.5331,0.58524,0.45684,0.61456,0.52798,0.54292,0.42224,0.94302,2.01898,1.29133,1.17531,0.00119637,0.00119637,0.00119637
15,657.267,0.68963,1.21538,0.77939,1.08351,0.57423,0.57726,0.567,0.451,0.55228,0.55446,0.52985,0.42361,0.92428,2.04234,1.41592,1.21083,0.00119225,0.00119225,0.00119225
