epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8538,1.16811,2.33738,1.75659,1.41727,0.84542,0.40768,0.48756,0.33435,0.83152,0.39599,0.47717,0.33983,1.30667,2.65851,1.91636,1.41414,0.000415784,0.000415784,0.000415784
2,162.419,1.17356,1.99159,1.48501,1.40467,0.57226,0.48142,0.54523,0.32863,0.58025,0.46008,0.51558,0.35746,1.27293,2.28517,2.34992,1.33262,0.000829703,0.000829703,0.000829703
3,250.835,1.19177,1.97905,1.51055,1.41636,0.40206,0.39308,0.41501,0.24294,0.4148,0.40501,0.42085,0.26571,1.41557,2.18705,1.96928,1.4605,0.00124087,0.00124087,0.00124087
4,326.91,1.12766,1.88004,1.39333,1.3565,0.53606,0.45876,0.5145,0.34296,0.53615,0.45465,0.50278,0.35237,1.13349,2.29885,1.64255,1.31469,0.00123763,0.00123763,0.00123763
5,401.626,1.10397,1.82102,1.34143,1.35917,0.51795,0.46844,0.53056,0.37685,0.5161,0.48665,0.53469,0.38516,1.10949,1.92221,1.7291,1.3123,0.0012335,0.0012335,0.0012335
6,475.431,1.07361,1.82729,1.28368,1.333,0.59097,0.48383,0.56325,0.38803,0.58029,0.47589,0.53731,0.36343,1.13205,1.92152,1.69475,1.31947,0.00122937,0.00122937,0.00122937
7,556.977,0.99741,1.7127,1.20888,1.29141,0.57498,0.52936,0.57501,0.43336,0.55419,0.50401,0.53598,0.40153,1.01018,1.96278,1.26003,1.20725,0.00122525,0.00122525,0.00122525
8,643.684,1.01398,1.68405,1.20154,1.31793,0.62299,0.45393,0.54632,0.38623,0.55591,0.49386,0.49259,0.37136,1.16559,1.97542,1.65502,1.34703,0.00122112,0.00122112,0.00122112
9,735.182,0.95211,1.59104,1.13966,1.2623,0.57419,0.54843,0.57287,0.40978,0.54975,0.52078,0.52113,0.36111,1.00529,2.15415,1.64489,1.20496,0.001217,0.001217,0.001217
10,824.671,0.93771,1.60502,1.12156,1.25872,0.61361,0.48302,0.55123,0.41247,0.57039,0.46815,0.51904,0.38266,1.08651,1.89655,1.60197,1.29047,0.00121287,0.00121287,0.00121287
11,913.391,0.91939,1.63899,1.11206,1.2532,0.55826,0.53102,0.57333,0.4206,0.55201,0.51919,0.53747,0.39273,1.02775,1.7082,1.42585,1.18622,0.00120875,0.00120875,0.00120875
12,1004.24,0.88524,1.54354,1.04403,1.21954,0.65835,0.473,0.5577,0.41727,0.58048,0.50412,0.53111,0.41863,1.00378,2.11618,1.39905,1.15489,0.00120462,0.00120462,0.00120462
13,1094.62,0.87642,1.57063,1.04416,1.22649,0.58622,0.5395,0.57998,0.4684,0.58278,0.5233,0.56489,0.43202,0.85792,1.82198,1.26127,1.08306,0.0012005,0.0012005,0.0012005
14,1182.83,0.85622,1.46561,1.01374,1.21062,0.56228,0.57011,0.55514,0.4171,0.54876,0.53958,0.52974,0.40032,1.01043,1.75207,1.60154,1.22444,0.00119637,0.00119637,0.00119637
15,1271.93,0.89618,1.48278,1.00979,1.23756,0.59856,0.5682,0.5967,0.46223,0.59531,0.54915,0.56997,0.41915,0.89925,2.01911,1.26491,1.12334,0.00119225,0.00119225,0.00119225
16,1360.14,0.86376,1.46466,0.97878,1.20591,0.62187,0.55061,0.60808,0.46383,0.60912,0.5083,0.56886,0.42623,0.94141,1.93588,1.3945,1.16919,0.00118812,0.00118812,0.00118812
17,1448.75,0.83201,1.52488,0.9768,1.18701,0.60006,0.51112,0.57016,0.44181,0.62351,0.49556,0.54472,0.42133,0.91543,1.93224,1.32782,1.1575,0.001184,0.001184,0.001184
18,1537.2,0.79157,1.4412,0.93243,1.16534,0.62836,0.50078,0.57289,0.44605,0.58452,0.4761,0.53606,0.43333,0.92589,1.67856,1.3814,1.19132,0.00117988,0.00117988,0.00117988
19,1628.45,0.81799,1.38929,0.9384,1.18721,0.6082,0.55786,0.59158,0.45911,0.57363,0.54133,0.55006,0.43454,0.93149,1.77441,1.28421,1.16739,0.00117575,0.00117575,0.00117575
20,1717.48,0.80475,1.36298,0.94295,1.16616,0.55246,0.57014,0.58202,0.46628,0.55965,0.51121,0.55559,0.43945,0.89774,1.77845,1.3412,1.09755,0.00117163,0.00117163,0.00117163
21,1803.19,0.78961,1.38555,0.90456,1.15936,0.58821,0.56001,0.58852,0.44895,0.57829,0.54731,0.55799,0.405,0.88399,1.87111,1.46846,1.1078,0.0011675,0.0011675,0.0011675
22,1893.04,0.7995,1.4215,0.90709,1.18448,0.62734,0.55611,0.59209,0.44938,0.60342,0.54081,0.5545,0.41969,0.89724,1.93009,1.20235,1.11358,0.00116337,0.00116337,0.00116337
23,1983.55,0.76819,1.40215,0.89069,1.15281,0.6279,0.56865,0.59513,0.47494,0.60543,0.55196,0.56628,0.45512,0.82594,1.99695,1.288,1.05055,0.00115925,0.00115925,0.00115925
24,2072.68,0.75749,1.30831,0.86451,1.14544,0.59049,0.57321,0.57948,0.45386,0.56136,0.54161,0.5341,0.39356,0.80977,2.04736,1.41201,1.02845,0.00115513,0.00115513,0.00115513
25,2163.44,0.73609,1.3256,0.86553,1.13357,0.61954,0.53865,0.59495,0.48742,0.60852,0.52877,0.55913,0.43781,0.82901,1.88995,1.27189,1.10681,0.001151,0.001151,0.001151
26,2254.27,0.73455,1.28602,0.83419,1.12679,0.6124,0.55989,0.57794,0.47154,0.6064,0.54235,0.55648,0.4269,0.80397,1.81786,1.31575,1.04879,0.00114688,0.00114688,0.00114688
27,2343.63,0.73139,1.28646,0.8244,1.13857,0.64927,0.54501,0.61652,0.49665,0.57282,0.5375,0.55604,0.44357,0.82791,1.82779,1.23533,1.05377,0.00114275,0.00114275,0.00114275
28,2434.4,0.71845,1.29544,0.82464,1.12845,0.61924,0.53974,0.60108,0.48251,0.61392,0.52934,0.56338,0.42755,0.8574,1.9109,1.36154,1.09863,0.00113863,0.00113863,0.00113863
29,2508.58,0.70095,1.26419,0.79596,1.11386,0.61889,0.5494,0.59935,0.48197,0.57907,0.51669,0.55604,0.43805,0.76791,1.90463,1.28067,1.02366,0.0011345,0.0011345,0.0011345
30,2582.13,0.70812,1.30812,0.84053,1.10857,0.63392,0.54699,0.59669,0.49387,0.60537,0.52326,0.55675,0.44809,0.75274,1.82699,1.25855,0.98994,0.00113038,0.00113038,0.00113038
31,2655.01,0.70161,1.23852,0.80733,1.10805,0.59592,0.5771,0.59353,0.46834,0.56847,0.55242,0.54408,0.42709,0.8905,1.94361,1.37396,1.1052,0.00112625,0.00112625,0.00112625
32,2739.34,0.69717,1.26493,0.80243,1.12108,0.64068,0.52618,0.61056,0.4959,0.63677,0.52355,0.58088,0.46234,0.74789,1.59539,1.24451,1.00038,0.00112213,0.00112213,0.00112213
33,2833.33,0.70677,1.1931,0.80713,1.10853,0.59071,0.51683,0.57933,0.45408,0.58353,0.51058,0.54834,0.43284,0.82054,2.02169,1.322,1.08037,0.001118,0.001118,0.001118
34,2921.85,0.71466,1.28994,0.80283,1.12923,0.57753,0.58537,0.58618,0.47306,0.59298,0.52626,0.54833,0.41526,0.77054,1.89914,1.28685,0.98922,0.00111388,0.00111388,0.00111388
35,3011.1,0.69023,1.18717,0.79451,1.10506,0.59445,0.57149,0.60791,0.49987,0.65705,0.51793,0.57157,0.44819,0.77427,1.73426,1.25295,1.01786,0.00110975,0.00110975,0.00110975
36,3098.5,0.67862,1.18168,0.74043,1.09108,0.62233,0.53859,0.59681,0.49884,0.60116,0.51914,0.56321,0.46371,0.72164,1.85012,1.12976,0.99594,0.00110563,0.00110563,0.00110563
37,3186.52,0.66357,1.17587,0.74845,1.09108,0.60109,0.58155,0.59807,0.5043,0.59294,0.54609,0.56882,0.45074,0.7203,2.00213,1.152,0.99727,0.0011015,0.0011015,0.0011015
38,3259.94,0.66385,1.21023,0.74716,1.08223,0.62626,0.57605,0.60843,0.51045,0.62388,0.5548,0.57876,0.44375,0.69565,1.87457,1.0551,0.94672,0.00109738,0.00109738,0.00109738
39,3332.62,0.64833,1.13883,0.75571,1.08082,0.58729,0.55016,0.5846,0.48568,0.56311,0.52475,0.5408,0.42484,0.74165,1.97647,1.17047,1.01474,0.00109325,0.00109325,0.00109325
40,3406.03,0.66164,1.18275,0.73729,1.08636,0.61753,0.53455,0.57901,0.47279,0.59146,0.50401,0.52448,0.42779,0.78082,2.0242,1.35142,1.01015,0.00108913,0.00108913,0.00108913
41,3488,0.65868,1.11816,0.74902,1.08297,0.63398,0.54135,0.60213,0.51043,0.6147,0.51643,0.56523,0.45525,0.72257,1.68173,1.21364,0.96799,0.001085,0.001085,0.001085
42,3572.91,0.64646,1.12469,0.72387,1.08777,0.62569,0.51825,0.60212,0.51145,0.54057,0.58086,0.55721,0.44838,0.70173,1.97103,1.34982,0.96492,0.00108088,0.00108088,0.00108088
43,3657.33,0.63945,1.13224,0.73711,1.06997,0.57656,0.59686,0.60664,0.49208,0.5271,0.57487,0.54067,0.42986,0.72346,1.92882,1.36583,0.97108,0.00107675,0.00107675,0.00107675
